02-22,1,鲁班七号,此时彼地HJ,钟无艳,知乎乎锤锤锤,项羽,星河涛涛,王昭君,小俞总,明世隐,彼地此时JQ,小乔,孙尚香,云中君,瑶,亚瑟
02-22,0,女娲,此时彼地HJ,钟无艳,知乎乎锤锤锤,虞姬,星河涛涛,瑶,小俞总,亚瑟,彼地此时JQ,甄姬,吕布,韩信,伽罗,庄周
02-22,0,马可波罗,此时彼地HJ,钟无艳,知乎乎锤锤锤,项羽,星河涛涛,瑶,小俞总,周瑜,彼地此时JQ,甄姬,亚瑟,后裔,典韦,东皇太一
02-22,1,鲁班七号,此时彼地HJ,钟无艳,知乎乎锤锤锤,甄姬,星河涛涛,瑶,小俞总,亚瑟,彼地此时JQ,程咬金,安琪拉,后裔,明世隐,李元芳
02-22,1,虞姬,此时彼地HJ,钟无艳,知乎乎锤锤锤,小乔,星河涛涛,瑶,小俞总,亚瑟,彼地此时JQ,刘禅,典韦,后裔,夏侯惇,王昭君
02-22,0,成吉思汗,此时彼地HJ,典韦,知乎乎锤锤锤,甄姬,星河涛涛,庄周,小俞总,亚瑟,彼地此时JQ,程咬金,妲己,凯,瑶,伽罗
02-22,0,马可波罗,此时彼地HJ,典韦,知乎乎锤锤锤,太乙真人,星河涛涛,王昭君,小俞总,亚瑟,彼地此时JQ,李元芳,甄姬,墨子,蒙犽,庄周
02-17,0,哪吒,此时彼地HJ,钟无艳,知乎乎锤锤锤,伽罗,星河涛涛,王昭君,小俞总,亚瑟,彼地此时JQ,蒙犽,凯,程咬金,甄姬,庄周
02-17,0,女娲,此时彼地HJ,钟无艳,知乎乎锤锤锤,百里守约,星河涛涛,蔡文姬,小俞总,亚瑟,彼地此时JQ,黄忠,阿轲,钟馗,孙膑,安琪拉
02-17,1,女娲,此时彼地HJ,钟无艳,知乎乎锤锤锤,百里守约,星河涛涛,蔡文姬,小俞总,亚瑟,彼地此时JQ,大乔,上官婉儿,兰陵王,典韦,黄忠
02-17,1,哪吒,此时彼地HJ,钟无艳,知乎乎锤锤锤,虞姬,星河涛涛,妲己,小俞总,亚瑟,彼地此时JQ,阿轲,扁鹊,伽罗,庄周,项羽
02-17,1,女娲,此时彼地HJ,钟无艳,知乎乎锤锤锤,虞姬,星河涛涛,王昭君,小俞总,亚瑟,彼地此时JQ,后裔,蔡文姬,安琪拉,夏侯惇,李元芳
02-17,0,女娲,此时彼地HJ,钟无艳,知乎乎锤锤锤,黄忠,星河涛涛,蔡文姬,小俞总,亚瑟,彼地此时JQ,赵云,李元芳,刘邦,不知火舞,孙尚香
02-17,1,女娲,此时彼地HJ,钟无艳,知乎乎锤锤锤,虞姬,星河涛涛,蔡文姬,小俞总,亚瑟,彼地此时JQ,后裔,程咬金,庄周,王昭君,孙悟空
02-17,0,米莱迪,此时彼地HJ,钟无艳,知乎乎锤锤锤,虞姬,星河涛涛,蔡文姬,小俞总,亚瑟,彼地此时JQ,赵云,吕布,嬴政,后裔,东皇太一
02-17,1,女娲,此时彼地HJ,钟无艳,知乎乎锤锤锤,虞姬,星河涛涛,蔡文姬,小俞总,亚瑟,彼地此时JQ,典韦,明世隐,后裔,凯,妲己
02-17,1,哪吒,此时彼地HJ,钟无艳,知乎乎锤锤锤,伽罗,星河涛涛,王昭君,小俞总,亚瑟,彼地此时JQ,甄姬,凯,钟馗,盘古,虞姬
02-17,0,哪吒,此时彼地HJ,钟无艳,知乎乎锤锤锤,孙尚香,星河涛涛,妲己,小俞总,亚瑟,彼地此时JQ,后裔,吕布,王昭君,孙悟空,夏侯惇
02-17,1,哪吒,此时彼地HJ,钟无艳,知乎乎锤锤锤,鲁班七号,星河涛涛,王昭君,小俞总,亚瑟,彼地此时JQ,孙悟空,安琪拉,庄周,后裔,夏侯惇
02-09,1,米莱迪,此时彼地HJ,钟无艳,知乎乎锤锤锤,孙尚香,星河涛涛,蔡文姬,小俞总,阿轲,宣武艺术家,典韦,夏侯惇,庄周,伽罗,甄姬
02-09,0,米莱迪,此时彼地HJ,钟无艳,知乎乎锤锤锤,伽罗,星河涛涛,蔡文姬,小俞总,阿轲,宣武艺术家,孙策,裴擒虎,庄周,嬴政,狄仁杰
02-09,0,不知火舞,此时彼地HJ,钟无艳,知乎乎锤锤锤,孙尚香,星河涛涛,蔡文姬,小俞总,韩信,宣武艺术家,兰陵王,瑶,后裔,张良,凯
02-09,1,墨子,此时彼地HJ,钟无艳,知乎乎锤锤锤,虞姬,星河涛涛,庄周,小俞总,百里玄策,宣武艺术家,鲁班七号,关羽,王昭君,蔡文姬,典韦
02-09,0,鲁班七号,此时彼地HJ,钟无艳,知乎乎锤锤锤,嬴政,星河涛涛,蔡文姬,小俞总,娜可露露,宣武艺术家,蒙犽,凯,夏侯惇,钟馗,甄姬
02-09,1,不知火舞,此时彼地HJ,吕布,知乎乎锤锤锤,虞姬,星河涛涛,庄周,小俞总,阿轲,宣武艺术家,公孙离,刘备,安琪拉,瑶,狂铁
